symbol,name,last,change,changePct
A,Agilent Technologies Inc. Common Stock,135.00,4.72,3.623
AA,Alcoa Corporation Common Stock ,75.63,1.92,2.605
AAP,Advance Auto Parts Inc.,207.52,3.25,1.591
ABB,ABB Ltd Common Stock,34.69,1.38,4.143
ABC,AmerisourceBergen Corporation Common Stock,150.50,-0.89,-0.588
ABEV,Ambev S.A. American Depositary Shares (Each representing 1 Common Share),2.70,0.08,3.053
ACI,Albertsons Companies Inc. Class A Common Stock,35.30,-0.28,-0.787
ACM,AECOM Common Stock,76.91,1.26,1.666
ADM,Archer-Daniels-Midland Company Common Stock,81.45,-1.36,-1.642
AEE,Ameren Corporation Common Stock,87.93,-0.53,-0.599
AEM,Agnico Eagle Mines Limited Common Stock,59.66,-0.05,-0.084
AER,AerCap Holdings N.V. Ordinary Shares,54.13,2.13,4.096
AES,The AES Corporation Common Stock,22.65,0.31,1.388
AFG,American Financial Group Inc. Common Stock,141.09,1.78,1.278
AFL,AFLAC Incorporated Common Stock,62.62,1.36,2.22
AGR,Avangrid Inc. Common Stock,44.75,0.02,0.045
AIG,American International Group Inc. New Common Stock,59.78,1.23,2.101
AJG,Arthur J. Gallagher & Co. Common Stock,162.67,4.11,2.592
ALB,Albemarle Corporation Common Stock,191.25,9.30,5.111
ALC,Alcon Inc. Ordinary Shares,74.88,2.28,3.14
ALL,Allstate Corporation (The) Common Stock,126.49,-0.64,-0.503
ALLE,Allegion plc Ordinary Shares,116.44,1.97,1.721
ALLY,Ally Financial Inc. Common Stock,43.37,1.93,4.657
AMCR,Amcor plc Ordinary Shares,11.46,0.22,1.957
AME,AMETEK Inc.,131.38,2.00,1.546
AMH,American Homes 4 Rent Common Shares of Beneficial Interest,38.62,0.24,0.625
AMOV,America Movil S.A.B. de C.V. Class A American Depositary Shares,19.24,0.34,1.799
AMP,Ameriprise Financial Inc. Common Stock,294.47,14.88,5.322
AMT,American Tower Corporation (REIT) Common Stock,239.63,3.42,1.448
AMX,America Movil S.A.B. de C.V. American Depository Receipt Series L,19.43,0.41,2.156
ANET,Arista Networks Inc. Common Stock,124.19,3.03,2.501
ANTM,Anthem Inc. Common Stock,470.82,3.13,0.669
AON,Aon plc Class A Ordinary Shares (Ireland),309.52,1.90,0.618
AOS,A.O. Smith Corporation Common Stock,67.31,1.17,1.769
APD,Air Products and Chemicals Inc. Common Stock,224.60,1.97,0.885
APH,Amphenol Corporation Common Stock,75.23,1.80,2.451
APO,Apollo Global Management Inc. (New) Common Stock,62.28,2.73,4.584
APTV,Aptiv PLC Ordinary Shares,116.71,8.64,7.995
ARE,Alexandria Real Estate Equities Inc. Common Stock,191.62,0.86,0.451
ARES,Ares Management Corporation Class A Common Stock,75.46,4.20,5.894
ASX,ASE Technology Holding Co. Ltd. American Depositary Shares (each representing Two Common Shares) ,7.35,0.32,4.552
ATO,Atmos Energy Corporation Common Stock,114.35,0.24,0.21
AVB,AvalonBay Communities Inc. Common Stock,243.01,2.79,1.161
AVTR,Avantor Inc. Common Stock,34.90,0.40,1.159
AVY,Avery Dennison Corporation Common Stock,170.10,2.97,1.777
AWK,American Water Works Company Inc. Common Stock,156.15,0.20,0.128
AXP,American Express Company Common Stock,180.61,4.57,2.596
AZO,AutoZone Inc. Common Stock,1970.74,46.80,2.433
BA,Boeing Company (The) Common Stock,188.99,9.10,5.059
